ip,port
154.160.70.29,1080
185.202.113.232,3001
23.95.137.158,20737
179.191.23.38,5678
171.234.64.234,80
118.99.87.125,5678
197.234.13.12,4145
45.112.125.57,4145
43.153.52.155,443
1.0.249.249,4145
103.72.79.65,14855
93.171.224.45,4153
88.198.219.62,80
185.99.133.79,9999
217.160.207.160,43280
195.9.146.246,3629
204.44.192.80,55070
136.228.128.6,41399
95.111.250.18,12370
27.72.145.184,5678
1.0.0.66,80
217.150.58.185,1080
178.252.199.46,4153
74.139.23.114,3128
116.58.239.205,4145
81.12.169.254,4153
110.78.146.14,4145
103.210.28.154,31433
103.109.212.85,1080
45.43.239.168,27070
46.183.124.129,53551
184.82.142.201,4153
83.40.76.242,80
38.140.231.10,174
103.57.134.250,45958
192.227.138.135,3128
171.5.1.96,4153
189.183.109.249,8080
190.205.32.70,999
103.102.142.98,4145
147.161.163.17,10089
125.234.95.131,1080
142.11.245.58,9300
108.162.196.144,80
1.10.133.155,4145
125.26.226.204,8080
170.81.141.49,61437
110.78.141.219,4145
182.16.175.174,5678
109.92.138.250,5678
45.112.125.54,4145
31.59.4.67,5678
216.177.141.32,18297
181.115.75.102,5678
200.85.139.58,4153
36.111.191.127,1080
157.245.59.71,42765
75.119.207.148,32238
88.213.214.254,4145
177.38.245.110,55713
119.42.71.103,4145
181.12.80.21,12000
116.9.163.205,5678
36.90.105.11,3128
43.153.183.37,20357
176.236.163.34,59311
34.120.231.30,80
206.192.226.90,39593
80.58.149.246,4145
51.161.32.157,80
46.141.74.126,1080
36.94.81.111,33333
47.96.252.112,80
213.150.221.198,4153
8.42.71.226,39593
8.219.104.50,443
197.234.13.16,4145
186.232.11.229,5678
31.207.47.29,14633
195.2.84.34,14069
112.78.161.191,8089
167.99.182.227,39031
203.160.59.249,4145
104.16.106.131,80
148.66.130.187,63840
187.221.149.83,3128
