Product_URL,shortDescription,longDescription,productName,itemDimFriendlyDesc,unitWeightLbs,dimensionalImage,productWidthIn,productHeightIn,productDepthIn,fabricDetails,additionalDimensions,assemblyInstructions,prop65Statement,packageItemDetails,error
https://www.ashleyfurniture.com/p/olivier_outdoor_bench/P600009205.html,"Handsomely crafted from durable teak wood, the Olivier Teak Bench is ideal for a small patio or porch. Featuring detailed carving and turned legs, this bench offers relaxation at its most refined. The crisscross designs on the back and slatted seat offer airflow for quick drying after inclement weather. Add traditional elegance to any indoor or outdoor space with the Olivier Teak Bench.","Traditional design | Constructed of solid teak wood | Natural finish | Classic curved arms and turned legs | Decorative crisscross back and slatted seat offer airflow and quick drying | Teak wood will naturally weather to a beautiful silvery gray; to preserve the golden color of the wood, apply teak oil periodically | Designed for indoor or outdoor use | Seating for up to 2 | Assembly required",Olivier Outdoor Bench,"47.25""W x 24""D x 34.25""H",49.17,{},47.25,34.25,24.0,,,[],,[],
https://www.ashleyfurniture.com/p/moonlight_view_outdoor_sofa_and_2_chairs_with_coffee_table/APG-P695838-4P.html,"Indulge in luxe outside living without sacrificing longevity. The Moonlight View outdoor package combines on-trend texture with sleek aluminum frames. Lounge poolside or on the porch—the comfy cushions are a chic spot to soak up the sun. And with cleanable, UV-resistant Nuvella® fabric in a showstopping corded look, style and durability go hand in hand.",Estimated Assembly Time: 105 Minutes,Moonlight View Outdoor Sofa and 2 Chairs with Coffee Table,"90""W x 38""D x 37""H",408.0,{},89.88,36.75,37.5,,"[{""DimensionDescription"":""Seat width"",""AlternativeDimensionInch"":""84"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat depth"",""AlternativeDimensionInch"":""22.13"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat height"",""AlternativeDimensionInch"":""19"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Distance between arms"",""AlternativeDimensionInch"":""84"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Arm height"",""AlternativeDimensionInch"":""25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat width"",""AlternativeDimensionInch"":""27.88"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat depth"",""AlternativeDimensionInch"":""22.13"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat height"",""AlternativeDimensionInch"":""19"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Distance between arms"",""AlternativeDimensionInch"":""27.88"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Arm height"",""AlternativeDimensionInch"":""25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""}]","['https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-838_I.pdf', 'https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-821_I.pdf', 'https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-701_I.pdf']",,"[{""shortDescription"":""Indulge in luxe outside living without sacrificing longevity. The Moonlight View outdoor sofa combines on-trend texture with a sleek aluminum frame. Lounge poolside or on the porch—the comfy cushions are a chic spot for you and a partner or two to soak up the sun. And with cleanable, UV-resistant Nuvella® fabric in a showstopping corded look, style and durability go hand in hand."",""longDescription"":""Made with aluminum | All-weather foam cushion core wrapped in soft polyester | Zippered cushions and throw pillows covered in solution-dyed high-performance fabric | Nuvella® is an outdoor fabric that can be cleaned and offers UV resistance | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | Stainless steel hardware | Designed to withstand the harsh elements of the outdoors | 4 throw pillows included | Assembly required | Estimated Assembly Time: 30 Minutes"",""productName"":""Moonlight View Outdoor Sofa with Cushion"",""itemDimFriendlyDesc"":""90\""W x 38\""D x 37\""H"",""unitWeightLbs"":""144"",""dimensionalImage"":{},""productWidthIn"":""89.88"",""productHeightIn"":""36.75"",""productDepthIn"":""37.5"",""fabricDetails"":null,""additionalDimensions"":""[{\""DimensionDescription\"":\""Seat width\"",\""AlternativeDimensionInch\"":\""84\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat depth\"",\""AlternativeDimensionInch\"":\""22.13\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat height\"",\""AlternativeDimensionInch\"":\""19\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Distance between arms\"",\""AlternativeDimensionInch\"":\""84\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Arm height\"",\""AlternativeDimensionInch\"":\""25\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""}]"",""assemblyInstructions"":[""https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-838_I.pdf""]},{""shortDescription"":""Indulge in luxe outside living without sacrificing longevity. The Moonlight View outdoor swivel chair combines on-trend texture with a sleek aluminum frame. Soak up the sun poolside or on the porch—a 360-degree swivel allows you to effortlessly turn to chat with guests or look after the kids. And with cleanable, UV-resistant Nuvella® fabric in a showstopping corded look, style and durability go hand in hand."",""longDescription"":""Made with aluminum | All-weather foam cushion core wrapped in soft polyester | Zippered cushions and throw pillows covered in solution-dyed high-performance fabric | Nuvella® is an outdoor fabric that can be cleaned and offers UV resistance | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | Stainless steel hardware | Designed to withstand the harsh elements of the outdoors | 360-degree swivel | Assembly required | Estimated Assembly Time: 30 Minutes"",""productName"":""Moonlight View Outdoor Swivel Chair with Cushion"",""itemDimFriendlyDesc"":""34\""W x 38\""D x 37\""H"",""unitWeightLbs"":""86"",""dimensionalImage"":{},""productWidthIn"":""34"",""productHeightIn"":""36.75"",""productDepthIn"":""37.5"",""fabricDetails"":null,""additionalDimensions"":""[{\""DimensionDescription\"":\""Seat width\"",\""AlternativeDimensionInch\"":\""27.88\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat depth\"",\""AlternativeDimensionInch\"":\""22.13\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat height\"",\""AlternativeDimensionInch\"":\""19\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Distance between arms\"",\""AlternativeDimensionInch\"":\""27.88\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Arm height\"",\""AlternativeDimensionInch\"":\""25\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""}]"",""assemblyInstructions"":[""https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-821_I.pdf""]},{""shortDescription"":""Indulge in luxe outside living without sacrificing longevity. The Moonlight View outdoor coffee table combines natural beauty with a sleek aluminum frame. Soak up the sun poolside or on the porch—it’s the perfect perch for drinks or a snack-filled serving tray. And with a chic gray stone tabletop, style and durability go hand in hand."",""longDescription"":""Made with aluminum | Sintered stone tabletop | Sintered stone is a non-porous, man-made material that mimics the look of natural stone | Stainless steel hardware | Designed to withstand the harsh elements of the outdoors | Assembly required | Estimated Assembly Time: 15 Minutes"",""productName"":""Moonlight View Outdoor Coffee Table"",""itemDimFriendlyDesc"":""48\""W x 28\""D x 18\""H"",""unitWeightLbs"":""92"",""dimensionalImage"":{},""productWidthIn"":""48"",""productHeightIn"":""18"",""productDepthIn"":""28"",""fabricDetails"":null,""additionalDimensions"":null,""assemblyInstructions"":[""https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P695-701_I.pdf""]}]",
https://www.ashleyfurniture.com/p/paradise_trail_outdoor_sofa_and_loveseat/APG-P750-2P.html,"Pretty enough for trendy interiors, yet durable enough to weather the elements, the Paradise Trail outdoor seating set rises to the challenge beautifully. Handwoven resin wicker over rust-proof aluminum merges high style with low maintenance. Rest assured, though the exposed armrests and feet look remarkably like wood, their sturdy aluminum construction is perfectly suited for alfresco living. Plush seat cushions and throw pillows wrapped in high-performing Nuvella® fabric aim to please.",Estimated Assembly Time: 45 Minutes,Paradise Trail Outdoor Sofa and Loveseat,"84""W x 34""D x 37""H",167.0,"{'src': 'https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/P750-838-Paradise-Trail-DIM?', 'alt': 'Paradise Trail Outdoor Sofa and Loveseat, , large'}",84.38,37.0,34.0,,"[{""DimensionDescription"":""Arm height"",""AlternativeDimensionInch"":""23.63"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Distance between arms"",""AlternativeDimensionInch"":""77"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat width"",""AlternativeDimensionInch"":""77"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat depth"",""AlternativeDimensionInch"":""20"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat height"",""AlternativeDimensionInch"":""18"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Arm height"",""AlternativeDimensionInch"":""23.75"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Distance between arms"",""AlternativeDimensionInch"":""52.25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat width"",""AlternativeDimensionInch"":""52.25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat depth"",""AlternativeDimensionInch"":""19.5"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat height"",""AlternativeDimensionInch"":""19.75"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""}]","['https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P750-838_i.pdf', 'https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P750-835_i.pdf']",,"[{""shortDescription"":""Pretty enough for trendy interiors, yet durable enough to weather the elements, the Paradise Trail outdoor sofa rises to the challenge beautifully. Handwoven resin wicker over rust-proof aluminum merges high style with low maintenance. Rest assured, though the exposed armrests and feet look remarkably like wood, their sturdy aluminum construction is perfectly suited for alfresco living. Plush seat cushions and throw pillows wrapped in high-performing Nuvella® fabric aim to please."",""longDescription"":""All-weather, handwoven resin wicker over rust-proof aluminum frame | Armrests with wood-like finish | 2 throw pillows included | Seat cushions and pillows covered with high-performance Nuvella® fabric | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | All-weather foam cushion core wrapped in soft polyester | Ships in single box | Imported fabric and fill | Assembly required | Estimated Assembly Time: 15 Minutes"",""productName"":""Paradise Trail Sofa with Cushion"",""itemDimFriendlyDesc"":""84\""W x 34\""D x 37\""H"",""unitWeightLbs"":""94"",""dimensionalImage"":{""src"":""https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/P750-838-Paradise-Trail-DIM?"",""alt"":""Paradise Trail Sofa with Cushion, , large""},""productWidthIn"":""84.38"",""productHeightIn"":""37"",""productDepthIn"":""34"",""fabricDetails"":null,""additionalDimensions"":""[{\""DimensionDescription\"":\""Arm height\"",\""AlternativeDimensionInch\"":\""23.63\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Distance between arms\"",\""AlternativeDimensionInch\"":\""77\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat width\"",\""AlternativeDimensionInch\"":\""77\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat depth\"",\""AlternativeDimensionInch\"":\""20\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat height\"",\""AlternativeDimensionInch\"":\""18\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""}]"",""assemblyInstructions"":[""https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P750-838_i.pdf""]},{""shortDescription"":""Pretty enough for trendy interiors, yet durable enough to weather the elements, the Paradise Trail outdoor loveseat rises to the challenge beautifully. Handwoven resin wicker over rust-proof aluminum merges high style with low maintenance. Rest assured, though the exposed armrests and feet look remarkably like wood, their sturdy aluminum construction is perfectly suited for alfresco living. Plush seat cushions and throw pillows wrapped in high-performing Nuvella® fabric aim to please."",""longDescription"":""All-weather, handwoven resin wicker over rust-proof aluminum frame | Armrests with wood-like finish | 2 throw pillows included | Seat cushions and pillows covered with high-performance Nuvella® fabric | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | All-weather foam cushion core wrapped in soft polyester | Ships in single box | Imported fabric and fill | Assembly required | Estimated Assembly Time: 30 Minutes"",""productName"":""Paradise Trail Loveseat with Cushion"",""itemDimFriendlyDesc"":""59\""W x 36\""D x 38\""H"",""unitWeightLbs"":""73"",""dimensionalImage"":{""src"":""https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/P750-835-Paradise-Trail-DIM?"",""alt"":""Paradise Trail Loveseat with Cushion, , large""},""productWidthIn"":""58.5"",""productHeightIn"":""38.25"",""productDepthIn"":""35.75"",""fabricDetails"":null,""additionalDimensions"":""[{\""DimensionDescription\"":\""Arm height\"",\""AlternativeDimensionInch\"":\""23.75\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Distance between arms\"",\""AlternativeDimensionInch\"":\""52.25\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat width\"",\""AlternativeDimensionInch\"":\""52.25\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat depth\"",\""AlternativeDimensionInch\"":\""19.5\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""},{\""DimensionDescription\"":\""Seat height\"",\""AlternativeDimensionInch\"":\""19.75\"",\""WidthInch\"":\""0\"",\""HeightInch\"":\""0\"",\""DepthInch\"":\""0\""}]"",""assemblyInstructions"":[""https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P750-835_i.pdf""]}]",
https://www.ashleyfurniture.com/p/la_vie_outdoor_stackable_chair_set_of_2/P600010933.html,"La vie means ""life"" in French. This chair may be simple in design but has a cool, modern style of its own that will complement your lifestyle. Its compact size allows it to fit in small spaces and stack away when needed. The La Vie dining chair is a comfortable sitting piece made of all-weather resistant, high-quality resin, that is great for indoor or outdoor use. Its anti-slip footpads ensure stability and prevent scratches to the floor. It is suitable for both residential and commercial use. Easy to keep clean, just wipe with a cloth and water.","All weather resistant resin for both indoor and outdoor | Stackable and space saving | Anti-slip pads at the bottom of legs to ensure its stability and prevent scratches on the floor | Easy to keep clean, just wipe with a cloth and water | No assembly required | Residential and Commercial Use",La Vie Outdoor Stackable Chair (Set of 2),"20""W x 17""D x 30.5""H",20.0,{},20.0,30.5,17.0,,,[],,[],
https://www.ashleyfurniture.com/p/bradenton_4pc_outdoor_wicker_sectional_set_wfire_table/P6008694CN.html,"Cozy up in the luxury of the Bradenton 4pc Sectional Set. Sectional seating for up to five hugs the powder-coated steel fire table offering deep seat cushions on all-weather resin wicker. The sectional cushions are covered in a solution-dyed polyester for durability and comfort. The fire table's tiled stone top and lattice paneled base offer a unique design that elevates any outdoor space. The gas controls and a rack for a propane tank are located inside the table's base, keeping them close at hand but out of sight. Enjoy an evening together with family and friends on the Bradenton sectional set.","Assembly required | UV resistant all-weather half-round resin wicker | Weather-resistant powder-coated steel frame | Handwoven weathered brown resin wicker | Deep sangria colored cushion covers with white piping | High-performance solution-dyed polyester cushion covers resist mildew, sun fade, and abrasion | Moisture-resistant high grade cushion cores | Removable cushion covers are machine washable | Fire table has a tiled stone top | Fire table gas controls and propane tank store inside table | Fire table comes with 10lbs of black glass fire beads | Fire table uses standard 20lb propane tank - Not Included | Fire table comes with a lid and protective covers for the table and propane tank (Propane tank not included)",Bradenton 4Pc Outdoor Wicker Sectional Set W/Fire Table,"90""W x 90""D x 32.5""H",65.34,{},90.0,32.5,90.0,,,[],,[],
https://www.ashleyfurniture.com/p/seychelles_4_lounge_chairs_and_2_coffee_tables/P6001326CN.html,"Elevate and transform your outdoor spaces into sustainable havens with our thoughtfully curated eco-conscious outdoor furniture collection. Meticulously crafted for both durability and style, each meticulously designed piece boasts 100% FSC-certified wood and incorporates innovative recycled materials. Embrace the essence of sustainability without compromising on the impeccable quality, allowing you to create a chic, enduring outdoor retreat that harmonizes with nature. Our collection features UV-resistant elements, ensuring long-lasting beauty and functionality.","Includes: 4 Modular Sofas and 4 Coffee Tables. Cushions are included. | Free Maintenance Kit included: A wood cleaner, Brush, Gloves, Sponge, Emery Paper, Paint Brush, Cotton Cloth, and wood Sealer Oil. | All wood is FSC®-certified. Your purchase of this product helps support forests and ecosystems worldwide. | Materials: Frames are made of certified teak, grown in Indonesia. Seat is made of weather net mesh. | Dimensions: Sofa 29L x 27.5W x 26H // Coffee Table 25.5L x 25.5W x 12H | Warranty: 1 Year Limited Manufacturer's Warranty. | Sturdy and Durable: Amazonia collection products can be left outside throughout the year and can withstand all types of weather; | Modern Design: Designed under a contemporary influence this item is durable, lightweight but also sturdy. Its design is timeless and elegant, an excellent product to create a cozy environment. | Please do not oil your new furniture immediately. We recommend waiting until the end of the first season before you clean the furniture, subsequently applying a thin layer of oil. This process should be repeated annually with Amazonia's Hardwood Sealer Oil, shortly before the furniture is brought out to the garden for the summer.",Seychelles 4 Lounge Chairs and 2 Coffee Tables,"27.5""W x 29""D x 26""H",61.5,{},27.5,26.0,29.0,,,[],,[],
https://www.ashleyfurniture.com/p/milos_outdoor_stackable_dining_chair_set_of_2/P600010936.html,"The simple yet elegant design of the Milos dining chair makes for extremely comfortable ergonomic sitting pieces. The slightly curved back supports all body types and spices up any setting. The variation in design allows for multi-functional purposes. Designed with convenience in mind, the chair easily stacks for effortless storage, and can be unstacked and set out when needed with ease. The chairs are made from high quality resin that will not rust or fade and easily wipes clean with water.","All weather resistant resin for both indoor and outdoor | Stackable and space saving | Anti-slip mats at the bottom of legs to ensure its stability and prevent scratches on the floor | Environmentally friendly materials | Easy to keep clean, just wipe with a cloth and water. No chemical cleaners are required.",Milos Outdoor Stackable Dining Chair (Set of 2),"22.5""W x 20""D x 32.5""H",30.0,{},22.4,32.3,19.8,,,[],,[],
https://www.ashleyfurniture.com/p/beachcroft_2-piece_outdoor_loveseat_with_cushion/P792-854.html,"Sporting an easy-on-the-eyes elegance, the Beachcroft loveseat elevates the art of alfresco living. Beautiful and durable enough for indoor and outdoor use, the high-style/low-maintenance seating entices with plush, removable cushions wrapped in Nuvella® fabric that’s a breeze to keep clean.","Includes loveseat with cushion | All-weather resin wicker handwoven over rust-free aluminum frame with durable powder coated finish | Solution-dyed high-performance fabric | Nuvella is an outdoor fabric that can be cleaned and offers UV resistance | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | Stainless steel hardware | 4 throw pillows included | Designed to withstand the harsh elements of the outdoors | Assembly required | Estimated Assembly Time: 15 Minutes",Beachcroft 2-Piece Outdoor Loveseat with Cushion,"107""W x 38""D x 35""H",126.0,{},107.0,34.63,37.75,,"[{""DimensionDescription"":""Seat width"",""AlternativeDimensionInch"":""96.25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat depth"",""AlternativeDimensionInch"":""21.5"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Seat height"",""AlternativeDimensionInch"":""18.5"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Distance between arms"",""AlternativeDimensionInch"":""96.25"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""},{""DimensionDescription"":""Arm height"",""AlternativeDimensionInch"":""24"",""WidthInch"":""0"",""HeightInch"":""0"",""DepthInch"":""0""}]","['https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P791,P792-854_I.pdf']",,[],
https://www.ashleyfurniture.com/p/citrine_park_5-piece_outdoor_sectional/P660P6.html,"Be the host with the most when you add the simply stunning Citrine Park outdoor sectional to your patio, porch or poolside. Easy-clean Nuvella+™ fabric in charcoal harmonizes with the eucalyptus wood frame to craft a richly relaxed sense of style, whether you’re hosting family and friends or lounging outdoors on your own.","Includes left-arm facing chair, 2 armless chairs, corner chair and right-arm facing chair | Made with eucalyptus wood | Solution-dyed high-performance fabric | Nuvella+ is an outdoor fabric that can be cleaned and offers enhanced UV resistance | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 1 cup bleach to 1 gallon water | All-weather foam cushion core wrapped in soft polyester | Stainless steel hardware | Designed to withstand the harsh elements of the outdoors | Imported fabric and fill | Assembly required | Estimated Assembly Time: 135 Minutes",Citrine Park 5-Piece Outdoor Sectional,"145.75""W x 78.5""D x 33""H",513.0,{},145.76,33.0,78.5,,,[],,[],
https://www.ashleyfurniture.com/p/wellingtons_peak_outdoor_sofa_with_cushion/P814-838.html,Turn your outdoor area into a slice of paradise. The Wellington's Peak outdoor sofa is perfect for lazy days in the sun or moonlit nights under the stars. Plush cushions made with high-performance Nuvella® fabric invite everyday use and ensure easy maintenance. Get a taste of the good life with your feet up and a beverage by your side.,"All-weather resin wicker handwoven over rust-resistant aluminum frame with durable powder coated finish | Powder coated aluminum resists rusting and fading | Solution-dyed high-performance fabric | Nuvella® is an outdoor fabric that can be cleaned and offers UV resistance | Clean fabric with mild soap and water, let air dry; for stubborn stains, use a solution of 4 oz. bleach to 28 oz. water | Stainless steel hardware | Designed to withstand the harsh elements of the outdoors | Assembly required",Wellingtons Peak Outdoor Sofa with Cushion,"82""W x 36""D x 31""H",111.98,{},81.5,31.0,36.0,,,['https://www.ashleydirect.com/GraphicsVault/Assembly_Instr/P814-838_AIS.pdf'],,[],
